DW_LOCALIDADE;id_estado;id_cidade;ds_estado;ds_cidade
405ffbf3663097ea8304a4e0b07bc30c2b7e2f92a60636ce867f5ad32b5f2b92;6;2920;BA;ILHEUS
f6f01c7e1452d6a60698fe250184567140da0955c4c1016245383473871f3da2;25;4380;RN;NATAL
7af6504494f768c7d673ea932d5ff6e98d07619cbad6a9845976cb2a4663efdf;20;2890;PE;IGARASSU
a59dd2dba465200c91f49944f18eeb0da6edfd55cb5a0192d135d02162cbdfc1;14;2843;MG;IBIRITE
0fb9e446224fd20690e64a5da01511a40b3ec41c0b6ffe62c73bb2b14f317799;16;1858;MT;CUIABA
e2c8d1a3e62496b7bcaf210c1864201c333bd1508242e78aae3ed68ed8631190;33;5611;SP;RIBEIRAO PRETO
e505c54c10c184860185de53fc68aaf90c3d1a01c2dfa1f0414e85fbd7d42de6;24;451;RJ;ARMACAO DOS BUZIOS
ce28759b4a26020c56cb758f06fda888da414b3d72f3469f0aadda6ef7ba8411;6;689;BA;BARRA DO JACUIPE (CAMACARI)
0a635932b0e966ffbd8af98f7df804ed11f3c6de33463898d10c7a83c9f75761;33;3149;SP;ITAPETININGA
a99fdaa27d05a97cd4a2355b81cb9173f6242a8c593ce6f2042ecd0d3f578043;18;256;PA;ANANINDEUA
1b4d627fcc691412c5d35743c28962840ddd0369c8693e1b0069ac4a15968d94;22;5353;PR;PRUDENTOPOLIS
8d2c5847f0c71ff7ad65f6b2c8d9c895db7cfa3f408c06069f48b89a241d6132;33;4508;SP;NOVA ODESSA
57caf0452c8b633be8ae096c6e00e80e9726657395b25107d900f24785550407;10;1144;ES;CACHOEIRO DE ITAPEMIRIM
73a7362d8a4c4de16db58751ae80e83e3bef7e542a8748137777f36fa808c84c;14;653;MG;BARAO DE MONTE ALTO
15521eec03b0eeb04c70602ec48fcf862d463e73bb0d2258de8691b8995f9b02;14;1717;MG;CONSELHEIRO LAFAIETE
319d96f7c14ad51a74193bcca81968d2154991432efe62858e93bbeb3a2cfd1b;6;234;BA;AMELIA RODRIGUES
c841c76d717562ca7c17226341604528ad16cccdaee61082570a0dfb26df1025;22;1878;PR;CURITIBA
9114ba1244acce9ad5a63ccf1745c1d94ba5a03591ba35df3fed51d4853bd881;13;6597;MA;SENADOR LA ROQUE
a42cfa8274fd421b24ea9934cf2d1f57a20fa4e51d9aab0185f1076781431085;24;279;RJ;ANGRA DOS REIS
e3f02dcc0c48c8719cdbc7c819a5dd67e58063c278997c0b7748674ca614e500;7;986;CE;BREJO SANTO
c82a9e4acd10155a188e0e28f5284f1cb657f49d395d8c48eca1b8a05e3ce4ed;31;54;SC;AGROLANDIA
6b75ac8782b19379cd0a3178412c6e6f287fc619d68d0e6b75a5e192aabf1c8e;19;4901;PB;PATOS
06470daf89fdce6f3c6199f81af3db1b23c9f4e13fcce4573efbde9ca4d57d61;33;866;SP;BOITUVA
6b3fd1ab1e9a751b0e57b1f5fe994d7b354b36de3802fe8a60b7441a6093eadb;11;212;GO;ALVORADA DO NORTE
005976e073ecb5bcf4bc31f0a5d42a423e2e6a400d1eace52df3c6315c14e5c2;33;948;SP;BRAGANCA PAULISTA
09c44c8ceaf438e43e92c2eccae7115164b074427f41989068cbe83c2893287f;33;6396;SP;SAO JOSE DOS CAMPOS
218fb5c522c283d2bdd745569e20b749945a2deb999d7cbbdd4745bd8926edcb;33;404;SP;ARARAQUARA
15a34ceb30cd01d5827a13bf731d972201b52963d9fb4dcbacc2d7407eebf98d;31;999;SC;BRUSQUE
